row_idx,agree,action,details
0,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
1,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
2,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
3,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
4,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
5,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
6,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
7,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
8,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
9,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
10,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
11,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
12,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
13,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
14,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
15,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
16,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
17,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
18,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
19,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
20,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
21,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
22,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
23,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
24,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
25,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
26,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
27,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
28,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
29,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
30,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
31,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
32,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
33,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
34,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
35,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
36,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
37,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
38,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
39,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
40,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
41,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
42,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
43,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
44,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
45,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
46,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
47,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
48,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
49,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
50,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
51,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
52,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
53,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
54,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
55,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
56,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
57,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
58,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
59,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
60,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
61,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
62,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
63,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
64,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
65,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
66,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
67,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
68,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
69,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
70,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
71,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
72,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
73,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
74,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
75,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
76,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
77,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
78,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
79,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
80,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
81,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
82,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
83,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
84,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
85,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
86,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
87,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
88,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
89,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
90,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
91,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
92,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
93,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
94,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
95,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
96,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
97,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
98,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
99,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
100,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
101,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
102,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
103,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
104,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
105,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
106,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
107,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
108,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
109,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
110,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
111,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
112,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
113,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
114,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
115,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
116,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
117,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
118,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
119,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
120,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
121,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
122,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
123,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
124,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
125,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
126,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
127,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
128,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
129,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
130,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
131,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
132,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
133,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
134,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
135,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
136,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
137,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
138,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
139,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
140,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
141,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
142,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
143,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
144,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
145,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
146,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
147,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
148,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
149,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
150,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
151,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
152,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
153,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
154,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
155,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
156,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
157,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
158,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
159,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
160,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
161,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
162,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
163,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
164,1,-1.0,{'actors': 3, 'agree_eps': 0.15, 'act_limit': 1.0, 'max_pair_diff': 0.0, 'min_q': None}
